                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.05.1"                               "gfortran"                                 "12.1.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20230513"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      629                  1.0000000000000001E-005                 -4.9999999999999991E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998951399927E-001                  2.9797563716735306E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998951399927E-001                  2.9797563716735306E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.6422679027942673E+000                 -9.8999999999999986E+001                 -2.3480339661790531E+001                 -7.6422679027942673E+000                 -7.6422679027942690E+000                 -2.2014689327257059E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6897364420102687E+000                  1.6434844032277274E+000                  9.6492247845782320E-001                  2.9853439251071490E+000                  0.0000000000000000E+000                  1.3071191638013067E+001                 -1.4589788918366005E+000                  6.4112183241204157E+000                  6.3679210256808094E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724270E-002                  5.1703250411792344E-003                  1.4070791467724270E-002                  2.0100000000000016E+000                  8.9990422188669372E-001                                        0                                        2 
                                       5                                      627                  7.4416000000000014E-005                 -4.6832750158095005E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998951399927E-001                  3.0263788987401709E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998951399927E-001                  3.0263788987401709E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.6422679017914961E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.6422679017914961E+000                 -7.6422679017914978E+000                 -2.2014689323983376E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6897793333592257E+000                  1.6436559689449410E+000                  9.6492247861851554E-001                  2.9853439247857643E+000                  0.0000000000000000E+000                  1.3071191638381999E+001                 -1.4589788915555988E+000                  6.4112183242084706E+000                  6.3679210256800944E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724270E-002                  5.1703250411792344E-003                  1.4070791467724266E-002                  2.0100000000000016E+000                  8.9990422188669372E-001                                        0                                        2 
                                      10                                      627                  2.5958682111999997E-004                 -4.2873687855713758E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998951399927E-001                  3.0175525248904649E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998951399927E-001                  3.0175525248904649E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.6422678988960326E+000                 -9.8999999999999986E+001                 -2.2878279670462568E+001                 -7.6422678988960326E+000                 -7.6422678988960344E+000                 -2.2014689314525551E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6897758827467269E+000                  1.6436421052099870E+000                  9.6492244797603677E-001                  2.9853439860707218E+000                  0.0000000000000000E+000                  1.3071191639446361E+001                 -1.4589788907455288E+000                  6.4112183244630963E+000                  6.3679210256780250E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724270E-002                  5.1703250411792344E-003                  1.4070791467724266E-002                  2.0100000000000016E+000                  8.9990422188669372E-001                                        0                                        2 
                                      15                                      627                  7.2035107872931814E-004                 -3.8914625553332525E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998951399927E-001                  3.0044399249592957E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998951399927E-001                  3.0044399249592957E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.6422678916795590E+000                 -9.8999999999999986E+001                 -2.3480339661790531E+001                 -7.6422678916795590E+000                 -7.6422678916795608E+000                 -2.2014689290948478E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6897739781341437E+000                  1.6436344397060061E+000                  9.6492242444921295E-001                  2.9853440331243695E+000                  0.0000000000000000E+000                  1.3071191642098100E+001                 -1.4589788887278690E+000                  6.4112183250979902E+000                  6.3679210256728636E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724270E-002                  5.1703250411792344E-003                  1.4070791467724266E-002                  2.0100000000000016E+000                  8.9990422188669372E-001                                        0                                        2 
                                      20                                      627                  1.8668799962237366E-003                 -3.4955563250951283E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998951399927E-001                  2.9914715398475004E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998951399927E-001                  2.9914715398475004E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.6422678737109102E+000                 -9.8999999999999986E+001                 -2.3179309666126549E+001                 -7.6422678737109102E+000                 -7.6422678737109120E+000                 -2.2014689232238801E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6897732714942713E+000                  1.6436315811355686E+000                  9.6492240844373933E-001                  2.9853440651353167E+000                  0.0000000000000000E+000                  1.3071191648699777E+001                 -1.4589788837052973E+000                  6.4112183266791005E+000                  6.3679210256600072E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724270E-002                  5.1703250411792344E-003                  1.4070791467724266E-002                  2.0100000000000016E+000                  8.9990422188669372E-001                                        0                                        2 
                                      25                                      627                  4.7198108322034473E-003                 -3.0996500948570040E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998951399927E-001                  2.9837344898595235E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998951399927E-001                  2.9837344898595235E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.6422678289847932E+000                 -9.8999999999999986E+001                 -2.3179309666126549E+001                 -7.6422678289847932E+000                 -7.6422678289847950E+000                 -2.2014689086101104E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6897730550090548E+000                  1.6436306913181431E+000                  9.6492239650545941E-001                  2.9853440890118765E+000                  0.0000000000000000E+000                  1.3071191665130897E+001                 -1.4589788712050813E+000                  6.4112183306149593E+000                  6.3679210256279950E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724270E-002                  5.1703250411792344E-003                  1.4070791467724266E-002                  2.0100000000000016E+000                  8.9990422188669372E-001                                        0                                        2 
                                      30                                      627                  1.1818815689988481E-002                 -2.7037438646188803E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998951399927E-001                  2.9808493156940293E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998951399927E-001                  2.9808493156940293E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.6422677176758755E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.6422677176758755E+000                 -7.6422677176758773E+000                 -2.2014688722413251E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6897730041016263E+000                  1.6436304597439790E+000                  9.6492238253323381E-001                  2.9853441169563277E+000                  0.0000000000000000E+000                  1.3071191706021322E+001                 -1.4589788400978247E+000                  6.4112183404104330E+000                  6.3679210255483187E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724270E-002                  5.1703250411792344E-003                  1.4070791467724266E-002                  2.0100000000000016E+000                  8.9990422188669372E-001                                        0                                        2 
                                      35                                      627                  2.9483411457712130E-002                 -2.3078376343807561E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998951399927E-001                  2.9800553735776579E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998951399927E-001                  2.9800553735776579E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.6422674406839457E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.6422674406839466E+000                 -7.6422674406839475E+000                 -2.2014687817381461E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6897729963253356E+000                  1.6436303738902442E+000                  9.6492235515894720E-001                  2.9853441717049010E+000                  0.0000000000000000E+000                  1.3071191807775557E+001                 -1.4589787626895219E+000                  6.4112183647869596E+000                  6.3679210253500407E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724270E-002                  5.1703250411792344E-003                  1.4070791467724266E-002                  2.0100000000000016E+000                  8.9990422188669372E-001                                        0                                        2 
                                      40                                      627                  7.3438578398454232E-002                 -1.9119314041426323E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998951399927E-001                  2.9798466324654937E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998951399927E-001                  2.9798466324654937E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.6422667514102871E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.6422667514102871E+000                 -7.6422667514102889E+000                 -2.2014685565276256E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6897730001170936E+000                  1.6436302593199403E+000                  9.6492229029028020E-001                  2.9853443014422347E+000                  0.0000000000000000E+000                  1.3071192060981700E+001                 -1.4589785700674556E+000                  6.4112184254470996E+000                  6.3679210248566176E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724270E-002                  5.1703250411792344E-003                  1.4070791467724266E-002                  2.0100000000000016E+000                  8.9990422188669372E-001                                        0                                        2 
