                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.05.1"                               "gfortran"                                 "12.1.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20230513"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      797                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+002                  3.5298505910360667E+001                 -9.8999999999999986E+001                  2.4838960288008829E-001                  1.7197745612576848E-001                  9.6905508077406461E-003                  1.2925412044618168E-003                  7.8139206566990582E-008                  1.7197745612576848E-001                  9.6905508077406461E-003                  1.2925412044618168E-003                  7.8139206566990582E-008                  8.2636654663841291E-001                 -4.4041603552960581E+001                 -1.4750469787535078E+001                  8.2636654663841302E-001                  1.3295400662979898E-001                  7.2805598409336025E-001                 -4.4041603552960581E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4056201307495861E+000                  6.1694098649747016E+000                  1.7961178318526743E+000                  2.8458319635977842E+000                  0.0000000000000000E+000                  1.4799539708513780E+001                 -8.6504404331046914E-001                  7.2663242635203416E+000                  6.2108996692607976E-001                  8.5000496627254196E-001                  1.2966429887659312E+000                  6.9999999999999984E-001                  2.7997020236474895E-001                  3.4468833607850529E-003                  9.3805276451495428E-003                  3.4468833607861366E-003                  9.3805276451495445E-003                  6.9999999999999929E+001                  2.7997020236474885E+001                                        0                                        4 
                                       5                                      822                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+002                  3.5298505910360667E+001                 -9.8999999999999986E+001                  2.6369036970054982E-001                  2.7439203367943166E-001                  9.6539974533305633E-003                  1.2925412044612061E-003                  7.8139205956367919E-008                  2.7439203367943166E-001                  9.6539974533305633E-003                  1.2925412044612061E-003                  7.8139205956367919E-008                  8.2636672837929426E-001                 -4.4041604426210199E+001                 -1.4750469787535078E+001                  8.2636672837929437E-001                  1.3295494120190479E-001                  7.2805597458658688E-001                 -4.4041604426210199E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4067964503263726E+000                  6.1743270498058411E+000                  1.7962237851146721E+000                  2.8456200570737891E+000                  0.0000000000000000E+000                  1.4799539646514724E+001                 -8.6504408453995463E-001                  7.2663242468438689E+000                  6.2108996692632290E-001                  8.5000496627254096E-001                  1.2966429887659328E+000                  6.9999999999999873E-001                  2.7997020236474929E-001                  3.4468833607779565E-003                  9.3805276451495393E-003                  3.4468833607861366E-003                  9.3805276451495445E-003                  6.9999999999999886E+001                  2.7997020236474874E+001                                        0                                        6 
                                      10                                      822                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+002                  3.5298505910360667E+001                 -9.8999999999999986E+001                  2.6354977032755489E-001                  2.8078448300068981E-001                  9.6288265699393458E-003                  1.2925412044612061E-003                  7.8139205956367919E-008                  2.8078448300068981E-001                  9.6288265699393458E-003                  1.2925412044612061E-003                  7.8139205956367919E-008                  8.2636894275988926E-001                 -4.4041597164150893E+001                 -9.8999999999999986E+001                  8.2636894275988915E-001                  1.3295672551989374E-001                  7.2805829821942913E-001                 -4.4041597164150893E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4068221352497199E+000                  6.1744571202419971E+000                  1.7962374504860563E+000                  2.8455927263310201E+000                  0.0000000000000000E+000                  1.4799540184432313E+001                 -8.6504370375682926E-001                  7.2663243863814992E+000                  6.2108996692439988E-001                  8.5000496627253941E-001                  1.2966429887659392E+000                  6.9999999999999563E-001                  2.7997020236475029E-001                  3.4468833607576646E-003                  9.3805276451495393E-003                  3.4468833607861362E-003                  9.3805276451495445E-003                  6.9999999999999886E+001                  2.7997020236474881E+001                                        0                                        6 
                                      15                                      822                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.0000000000000000E+002                  3.5298505910360667E+001                 -9.8999999999999986E+001                  2.6252195820099788E-001                  2.8078448300068981E-001                  9.6014210161355883E-003                  1.2925412044612061E-003                  7.8139205956367919E-008                  2.8078448300068981E-001                  9.6014210161355883E-003                  1.2925412044612061E-003                  7.8139205956367919E-008                  8.2637195590514279E-001                 -4.4041587417583528E+001                 -9.8999999999999986E+001                  8.2637195590514267E-001                  1.3295917995216791E-001                  7.2806145329881200E-001                 -4.4041587417583528E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4068270768077618E+000                  6.1744931525601299E+000                  1.7962455835290378E+000                  2.8455764602450571E+000                  0.0000000000000000E+000                  1.4799540911781323E+001                 -8.6504318292680626E-001                  7.2663245737292348E+000                  6.2108996692184781E-001                  8.5000496627253519E-001                  1.2966429887659523E+000                  6.9999999999998808E-001                  2.7997020236475267E-001                  3.4468833607077197E-003                  9.3805276451495289E-003                  3.4468833607861362E-003                  9.3805276451495445E-003                  6.9999999999999844E+001                  2.7997020236474881E+001                                        0                                        2 
                                      20                                      822                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.0000000000000000E+002                  3.5298505910360667E+001                 -9.8999999999999986E+001                  2.5815039905270409E-001                  2.8078448300068981E-001                  9.5815327635956661E-003                  1.2925412044612061E-003                  7.8139205956367919E-008                  2.8078448300068981E-001                  9.5815327635956661E-003                  1.2925412044612061E-003                  7.8139205956367919E-008                  8.2637796244092376E-001                 -4.4041567857047816E+001                 -9.8999999999999986E+001                  8.2637796244092376E-001                  1.3296411058005156E-001                  7.2806773315505569E-001                 -4.4041567857047816E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4068351667972880E+000                  6.1745366468347163E+000                  1.7962511506872794E+000                  2.8455653259285740E+000                  0.0000000000000000E+000                  1.4799542381336924E+001                 -8.6504212466018726E-001                  7.2663249509190280E+000                  6.2108996691673990E-001                  8.5000496627252420E-001                  1.2966429887659854E+000                  6.9999999999996931E-001                  2.7997020236475867E-001                  3.4468833605861031E-003                  9.3805276451495046E-003                  3.4468833607861366E-003                  9.3805276451495445E-003                  6.9999999999999801E+001                  2.7997020236474889E+001                                        0                                        2 
                                      25                                      822                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.0000000000000000E+002                  3.5298505910360667E+001                 -9.8999999999999986E+001                  2.5020590594715719E-001                  2.8078448300068981E-001                  9.5176282091179037E-003                  1.2925412044612061E-003                  7.8139205956367919E-008                  2.8078448300068981E-001                  9.5176282091179037E-003                  1.2925412044612061E-003                  7.8139205956367919E-008                  8.2639055714476961E-001                 -4.4041526147739134E+001                 -1.4449439791871097E+001                  8.2639055714476983E-001                  1.3297456096697149E-001                  7.2808087259230392E-001                 -4.4041526147739134E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4068397000361648E+000                  6.1745235987633000E+000                  1.7962355601738187E+000                  2.8455965069554958E+000                  0.0000000000000000E+000                  1.4799545590419131E+001                 -8.6503980393379476E-001                  7.2663257724079306E+000                  6.2108996690566365E-001                  8.5000496627249911E-001                  1.2966429887660649E+000                  6.9999999999992457E-001                  2.7997020236477310E-001                  3.4468833602941075E-003                  9.3805276451494526E-003                  3.4468833607861366E-003                  9.3805276451495445E-003                  6.9999999999999730E+001                  2.7997020236474942E+001                                        0                                        2 
                                      30                                      822                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.0000000000000000E+002                  3.5298505910360667E+001                 -9.8999999999999986E+001                  2.4831774706362283E-001                  2.8078448300068981E-001                  9.4406106051640355E-003                  1.2925412044612061E-003                  7.8139205956367919E-008                  2.8078448300068981E-001                  9.4406106051640355E-003                  1.2925412044612061E-003                  7.8139205956367919E-008                  8.2641731302333132E-001                 -4.4041442432676234E+001                 -9.8999999999999986E+001                  8.2641731302333132E-001                  1.3299712622513932E-001                  7.2810869302900050E-001                 -4.4041442432676234E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4068442616347765E+000                  6.1744840459596144E+000                  1.7962066605747518E+000                  2.8456543061536292E+000                  0.0000000000000000E+000                  1.4799552882509452E+001                 -8.6503451293234557E-001                  7.2663276351822654E+000                  6.2108996688063567E-001                  8.5000496627243805E-001                  1.2966429887662558E+000                  6.9999999999981688E-001                  2.7997020236480802E-001                  3.4468833595921685E-003                  9.3805276451493225E-003                  3.4468833607861366E-003                  9.3805276451495445E-003                  6.9999999999999318E+001                  2.7997020236475141E+001                                        0                                        2 
                                      35                                      822                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.0000000000000000E+002                  3.5298505910360667E+001                 -9.8999999999999986E+001                  2.4835591683086536E-001                  2.8078448300068981E-001                  7.8082053659400998E-003                  1.2925412044612061E-003                  7.8139205956367919E-008                  2.8078448300068981E-001                  7.8082053659400998E-003                  1.2925412044612061E-003                  7.8139205956367919E-008                  8.2647833247547020E-001                 -4.4041273784558868E+001                 -9.8999999999999986E+001                  8.2647833247546998E-001                  1.3304851429620612E-001                  7.2817215912614663E-001                 -4.4041273784558868E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4068519044187875E+000                  6.1744434773187971E+000                  1.7961710906863197E+000                  2.8457254459304933E+000                  0.0000000000000000E+000                  1.4799567353329161E+001                 -8.6502391077181917E-001                  7.2663313089031769E+000                  6.2108996683179518E-001                  8.5000496627228761E-001                  1.2966429887667261E+000                  6.9999999999955209E-001                  2.7997020236489367E-001                  3.4468833578668702E-003                  9.3805276451490120E-003                  3.4468833607861366E-003                  9.3805276451495445E-003                  6.9999999999998096E+001                  2.7997020236475457E+001                                        0                                        2 
                                      40                                      822                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.0000000000000000E+002                  3.5298505910360667E+001                 -9.8999999999999986E+001                  2.4838365397202511E-001                  2.8078448300068981E-001                  7.8480577021273028E-003                  1.2925412044612061E-003                  7.8139205956367919E-008                  2.8078448300068981E-001                  7.8480577021273028E-003                  1.2925412044612061E-003                  7.8139205956367919E-008                  8.2662771439855776E-001                 -4.4040869418059877E+001                 -9.8999999999999986E+001                  8.2662771439855764E-001                  1.3317353066465293E-001                  7.2832773029003217E-001                 -4.4040869418059877E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4068632964480852E+000                  6.1744127944553773E+000                  1.7961329651960138E+000                  2.8458016969111051E+000                  0.0000000000000000E+000                  1.4799598274355377E+001                 -8.6500107845464258E-001                  7.2663391191525735E+000                  6.2108996672887473E-001                  8.5000496627191324E-001                  1.2966429887678939E+000                  6.9999999999889395E-001                  2.7997020236510650E-001                  3.4468833535771233E-003                  9.3805276451482365E-003                  3.4468833607861366E-003                  9.3805276451495445E-003                  6.9999999999995552E+001                  2.7997020236476388E+001                                        0                                        2 
